## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647652.rg.bam] OUTPUT=SRR11647652.dedp.bam METRICS_FILE=SRR11647652.metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri May 01 13:22:43 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	32342370	342671362	41186704	0	6569966	15808593	0	0.053209	3598794487

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	310981510	310981510
2.0	1.909174	14191944	14191944
3.0	2.735772	555060	555060
4.0	3.487294	53748	53748
5.0	4.170558	18687	18687
6.0	4.791765	9867	9867
7.0	5.35655	6004	6004
8.0	5.870038	3991	3991
9.0	6.336888	2756	2756
10.0	6.761336	2109	2109
11.0	7.147234	1519	1519
12.0	7.498082	1167	1167
13.0	7.817064	825	825
14.0	8.107074	755	755
15.0	8.370744	565	565
16.0	8.610466	434	434
17.0	8.828415	367	367
18.0	9.026568	285	285
19.0	9.206725	208	208
20.0	9.370518	180	180
21.0	9.519435	142	142
22.0	9.654826	120	120
23.0	9.777921	103	103
24.0	9.889835	81	81
25.0	9.991584	76	76
26.0	10.084092	89	89
27.0	10.168198	43	43
28.0	10.244665	48	48
29.0	10.314187	47	47
30.0	10.377395	41	41
31.0	10.434861	36	36
32.0	10.487109	32	32
33.0	10.53461	24	24
34.0	10.577798	29	29
35.0	10.617063	15	15
36.0	10.652761	15	15
37.0	10.685217	15	15
38.0	10.714726	17	17
39.0	10.741554	15	15
40.0	10.765946	16	16
41.0	10.788122	14	14
42.0	10.808284	10	10
43.0	10.826615	4	4
44.0	10.843281	2	2
45.0	10.858433	10	10
46.0	10.872209	7	7
47.0	10.884734	6	6
48.0	10.896121	5	5
49.0	10.906474	10	10
50.0	10.915887	6	6
51.0	10.924444	7	7
52.0	10.932225	3	3
53.0	10.939299	6	6
54.0	10.94573	5	5
55.0	10.951577	7	7
56.0	10.956893	5	5
57.0	10.961727	3	3
58.0	10.966121	5	5
59.0	10.970116	1	1
60.0	10.973748	4	4
61.0	10.977051	3	3
62.0	10.980053	2	2
63.0	10.982783	0	0
64.0	10.985265	1	1
65.0	10.987521	3	3
66.0	10.989573	5	5
67.0	10.991438	4	4
68.0	10.993134	3	3
69.0	10.994675	2	2
70.0	10.996077	3	3
71.0	10.997352	0	0
72.0	10.99851	2	2
73.0	10.999564	0	0
74.0	11.000521	0	0
75.0	11.001392	1	1
76.0	11.002184	2	2
77.0	11.002903	0	0
78.0	11.003558	1	1
79.0	11.004153	1	1
80.0	11.004694	0	0
81.0	11.005185	1	1
82.0	11.005633	1	1
83.0	11.006039	1	1
84.0	11.006409	3	3
85.0	11.006745	0	0
86.0	11.00705	2	2
87.0	11.007328	1	1
88.0	11.00758	0	0
89.0	11.00781	0	0
90.0	11.008019	2	2
91.0	11.008209	0	0
92.0	11.008381	1	1
93.0	11.008538	1	1
94.0	11.008681	0	0
95.0	11.00881	0	0
96.0	11.008928	1	1
97.0	11.009035	0	0
98.0	11.009133	0	0
99.0	11.009221	3	3
100.0	11.009302	0	0
101.0	0	1	1
102.0	0	1	1
104.0	0	1	1
123.0	0	1	1
127.0	0	1	1
131.0	0	1	1
170.0	0	1	1
214.0	0	1	1

