## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR11647662.rg.bam] OUTPUT=SRR11647662.dedp.bam METRICS_FILE=SRR11647662.metrics.txt REMOVE_DUPLICATES=false    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 02 03:23:03 EEST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	28749287	309039508	38474643	0	6972736	28034438	0	0.097463	1598707998

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	254338924	254338924
2.0	1.82423	23670001	23670001
3.0	2.503585	1839776	1839776
4.0	3.063529	154686	154686
5.0	3.525053	24878	24878
6.0	3.905454	9203	9203
7.0	4.218992	4588	4588
8.0	4.477419	2417	2417
9.0	4.690423	1415	1415
10.0	4.865987	791	791
11.0	5.010692	429	429
12.0	5.129962	263	263
13.0	5.228268	139	139
14.0	5.309295	94	94
15.0	5.376079	63	63
16.0	5.431125	29	29
17.0	5.476496	12	12
18.0	5.513892	17	17
19.0	5.544714	10	10
20.0	5.570119	6	6
21.0	5.591059	3	3
22.0	5.608318	2	2
23.0	5.622543	3	3
24.0	5.634268	0	0
25.0	5.643932	0	0
26.0	5.651898	0	0
27.0	5.658463	2	2
28.0	5.663874	0	0
29.0	5.668335	0	0
30.0	5.672011	1	1
31.0	5.675041	0	0
32.0	5.677538	0	0
33.0	5.679597	0	0
34.0	5.681294	0	0
35.0	5.682692	0	0
36.0	5.683845	0	0
37.0	5.684795	0	0
38.0	5.685578	0	0
39.0	5.686223	0	0
40.0	5.686755	0	0
41.0	5.687194	0	0
42.0	5.687555	0	0
43.0	5.687853	0	0
44.0	5.688098	0	0
45.0	5.688301	0	0
46.0	5.688468	0	0
47.0	5.688605	0	0
48.0	5.688718	0	0
49.0	5.688812	0	0
50.0	5.688889	0	0
51.0	5.688952	0	0
52.0	5.689004	0	0
53.0	5.689048	0	0
54.0	5.689083	0	0
55.0	5.689112	0	0
56.0	5.689136	0	0
57.0	5.689156	0	0
58.0	5.689173	0	0
59.0	5.689186	0	0
60.0	5.689197	0	0
61.0	5.689207	0	0
62.0	5.689214	0	0
63.0	5.68922	0	0
64.0	5.689226	0	0
65.0	5.68923	0	0
66.0	5.689233	0	0
67.0	5.689236	0	0
68.0	5.689239	0	0
69.0	5.68924	0	0
70.0	5.689242	0	0
71.0	5.689243	0	0
72.0	5.689245	0	0
73.0	5.689245	0	0
74.0	5.689246	0	0
75.0	5.689247	0	0
76.0	5.689247	0	0
77.0	5.689248	0	0
78.0	5.689248	0	0
79.0	5.689248	0	0
80.0	5.689249	0	0
81.0	5.689249	0	0
82.0	5.689249	0	0
83.0	5.689249	0	0
84.0	5.689249	0	0
85.0	5.689249	0	0
86.0	5.689249	0	0
87.0	5.689249	0	0
88.0	5.689249	0	0
89.0	5.689249	0	0
90.0	5.689249	0	0
91.0	5.68925	0	0
92.0	5.68925	0	0
93.0	5.68925	0	0
94.0	5.68925	0	0
95.0	5.68925	0	0
96.0	5.68925	0	0
97.0	5.68925	0	0
98.0	5.68925	0	0
99.0	5.68925	0	0
100.0	5.68925	0	0

